Serial_ID,Brand_Info,Ingredients_List
051,COSRX,"cauuon ror external use only Uo nor get into eyes Ingredients Water Acrylates Copolymer Butylene Glycol, Glycerin Disodium Laureth Sulfosuccinate Sodium Cocoyl Isethionate, 1,2-Hexanediol, Coco-Glucoside Lauryl Betaine Snail Secretion Filtate Arginine Tromethamine, Potassium Cocoyl Glycinate Fragrance, Carbomer Sodium Chloride, Ethylhexylglycerin, AcrylatesC1o-30 Alkyl Acrylate Crosspolymer Sodium Polyacrylate Disodium EDrA 2. COSRX Advanced Snail 96 Mucin Power Essence 30 mL 1.01 fl. 02. 46969 Cnail secretim"
052,Advanced Snail 96 Mucin Power Essence,"Ingredients Snail Secretion Filtrate, Betaine, B utylene Glycol, 1,2-Hexanediol, Sodium Polyac- rylate, Phenoxyethanol, Sodium Hyaluronate Al- lantoin, Ethyl Hexanediol, Carbomer Panthenol, Arginine"
053,COSRX,"Ingredients Snail Secretion Filtrate Betaine, CaprylicICapric Triglyceride, Butylene Glycol, Cetearyl Olivate Sorbitan Olivate, Cetearyl Alcohol, Carbomer, Arginine Dimethicone Sodium Polyacrylate Phenoxyethanol, Sodium Hyaluronate, Stearic Acid, Allantoin, Panthenol, Xanthan Gum, Ethyl Hexanediol, Adenosine"
054,COSRX,"Ingredients 9 Hippophae Rhamnoides Water, Glycerin, Butylene Glycol, CaprylicCapric Triglyceride, Betaine Helianthus Annuus (Sunflower) Seed Oil, Cetearyl Alcohol, Cetearyl Olivate Sorbitan Olivate Macadamia Ternifolia SeedOil, 1,2-Hexanediol, Sodium Hyaluronate, Arginine, Panthenol, Dimethicone, Ethylhexylglycerin, Carbomer, Allantoin, Xanthan Gum, Ethyl Hexanediol"
055,Advancec Snail Mucin Gel Cleanser,"Ingredients Water, Acrylates Copolymer, Bu- tylene Glycol, Glycerin, Disodium Laureth Sul- fosuccinate, Sodium Cocoyl Isethionate, 1,2-H- exanediol, Coco-Glucoside, Lauryl Betaine, S nail Secretion Filtrate, Arginine, Tromethamine Potassium Cocoyl Glycinate Fragrance, Car- bomer, Sodium Chloride, Ethylhexylglycerin, AcrylatesC1o-3O Alkyl Acrylate Crosspolymer, Sodium Polyacrylate, Disodium EDTA"
056,Advanced Snail Peptide Eye Cream,"Ingredients Snail Secretion riitrate, Butylene Glycol Glycerln, Helianthus Annuus (Sunilower) Seed Oil, 1,2-Hex- anedlol, Niacinamide Water, Palmitic Acid, Arginine Carbomer Stearic Acid Betaine, Cetearyl Olivate, Sorbitan Oll- vete, Sodium Polyacrylete, Allantoin Tocopheryl Acotate Panthenol Hydro- xyethyl AcryleteSodium Acryloyldime- thyl Taurate Copolymer Sodium Hy aluronate, Adonosine Xanthan Gum Mynstic Acid Copper Tripoptide-1, Acety Palmitoyl Pentapeptide 4, Palmltoy Trlpeptide-1, Palmltoyl Tetra- 08010"
057,,"Ingredients WATER PROPANEDIOL DIPROPYLENEGIYCOL BUTMENEGLYODEMETME ROPANEDIOL DIETHOXYETHYL SUCCINATE METHYLTAURATE BEHENETH 25 METHACRYLATECROSSPOLAVER INACNAVDETITREHA OS 1,2 HEXYANEDIOL, CHLORELLAVLGARISEXIPACTE COULAGENTDPPMEHNDEOEL YZED COLLAGEN(9 81PPM) EXTRACT SOLUBLECOLLAGENOOOIPPM ALLIUMSATMMGARUC BULBEXTRACT AV ENASATIVA OAT) KERNELEXTRACT OLERACEAITALICA (BROCCOLI)EXTRACI CAMELUASINENSIS SERDEXTPHCIESAEYON EGGEXTRACT SOLANUMLYCOPERSICUMTOMAIO FRUTEKIRACSPINCAOLEPACEA (SPINACHLEAFEXTRACT VACCINIUMANGUSIEOUUM BLUEBERRMFRUILEXIRACEMNE EXTRACT POLYGLYCERM-1O ISOSTEARATE TROMETHAMINE CLUCOSE POLYCIYCERYL -1O OLEATE, ETHYLHEXYLGLYCERIN FRUCTOOUGOSACCHARDES PRUCTOSE ADENOSI NE SODUMPHYTATE CYAWNOCOBA AMIN TOCOPHEROL PULLULAN CLYCERINHYDR OXYPROPYLTRIMONIUMHYALURONATE SOUALANE SOLUBLEPROTEOCLYCANJHYDRO IIYZEDELASTIN SODIUMONA CARBOMER XANTHANGUM FRAGRANCEPARFUMI"
058,,"Ingredients WATER POLMMLALCOCL GLYCERIN AGAME AMERICANASTEMEX TRACT NIACINAMIDE, SODIUMHYNLURO NATE 12 HEXANEDIOL CHLORELLAML CARISEXTRACTCYNANCHUMATRATUM EXTRACTALTHAEA ROSEAFLOWEREXT COLLAGENEXTRACTO.Ippr) CAPRMXL CILYCOL POLYGILYCERYLIOLAUBATE GLUCOSE BUTYLENE GLYCOLETHYLH EXYLGLYCERIN FRUCTOOLIGOSACCHA RIDES ERUOIOSEADENOSIINEPCAPRL UCIAPRICTRIGLYCERDE HYPOCEN ATEDLECITHIN CERAMIDENP TOCOPH EROL SODIUMSIEAROYECLUIAVATE MANILIANGUIM"
059,RICIE IONER,"INGREDILNIS Ory4 Sativa(Rice) Extraact(77.78%), Methylpro panediol, lriethylhexanoin, Hydrogenated Poly(C6-14 (lefin) Ni acinamide, Pentylene Glycol, Portulaca Oleracca Extract Uryza Sativa (Rice) Bran Lxtract(o 1%), Ulmus Davidiana Roor Extract Amaranthus Caudatus Seed Extract, Hydrogenated Lecithin, Wa ter Polyglyceryl-10 Myristate) Butylene Glycol, Adenosine, Cellu lose Gum, Ethylhexylglycerin, 1,2-hexanediol"
060,rnoce,"84384438382 8ষ3 71344 Butyrosperuulu Parkit (Shea) Butier Beheryl Alcohol, Xylitylglucoside Nlacinamide Squalltie Sodiuru Acrylates Copolyuer Acetyl Tetrapeptide 2, Palmuitoyl Heptapeptide 27, Palmnitoy Oligopeptide 78, Palmitoyl octapeptide 24, Phenoxyerhe aol, Anhydroxyttoll 1,2 Hexanediol, Hydroxyethyll AcrylateSodiulu Acryloyldimethyl Taurate Copolyuer Xylitol, Lecithiu Ethylhexylglycerin cIucose Blsabolbl, Sodiuju yaluronate Tepretoner Polysorbate 60, Sorbltaj sostearate Caprylyl clycol Euterpe Oleracea Fruiit xtract Potassiuuu Sorbate CtticAcid Sorbic Acid actic Acidiclycollc Acid Copolyuer locopheroll Polyvuyl Alcohol, Sodijlu"
061,ROUND LAB DOKDO CLEANSER,"য 4 ,4 g 0 M E থ4 0 , ২ ঋ ২ ছ g E P 0 , -u E থ , E E g e 4 0 0 , স 0 , 0 5, সথ২ ন চ ষ-67, Elo 0 C E 9 9 , E ,%2 g , 4, 0 ই,1,2 - E 0 , 7) 7 0 5, 2 0 5 0 5 ২ ঋ 0 , থ ঘ 7 0 8থ,7 7 ২ 0 ২ 0 5,4 E - 2 ,- E ই2 , 0 g 0 5,স খ l ২ M ২ , 2 ঘ 0 59 - , ২ 0 , 0 5 2 0 5 0 % 9 , E 9 0 5, ,4 0 % ণ 0 থ , 0 , 7 -, - ,5"
062,sxino,"Ingredients Aqua, Glycerin, Niacinam ide Pentylene Glycol, Hamamelis Virginiana (Witch Hazel) Extract, Camellia Sinensis (Green Tea) Leaf Extract, Panthenol, Sodium Hyaluronate Sodium Acetylated Hyaluronate, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer Caprylyl Methicone, PEG-12 Dimethicone, Dimethicone Cyclopentasiloxane, Glyceryl AcrylateAcrylic Acid Copolymer PVMMA Copolymer PPG-20 Crosspolymer PEGPPG-1818 Dimethicone Trideceth-6, Methyl Ether Dimethyl Silane, Sodium Polyacrylate, 1,2-Hexanediol, Ethylhexylglycerin, Ethylenediaminetetraacetic Acid, Phenoxyethanol, Fragrance"
063,SOFT FINISH,"LAURYLPEG 10 TRISTRIMETHISLOXYCLYLETHYL DIMEIHICONEEIHYLHEXYLSALICMAIE CAPRYLYLMETHOUNE EIHYHEXYL MEIHOXYCNNAMATEISOPROPYL PALMITATETITANIUMDOXIDE(CITT89 ) ALCOHULDENAT CI2 I5ALKYLBENOAIE HEICHRYSUMARENARUMEXTRACT BISETHYHEXYLOXYPHENOL METHOXYFHENYLTRIAZNE MAGNESIUM CROSSFOLYMER UIMETHICONE BENZOATE QUATERNIUMIBBENIONITE ALUMINUMHYUROXIDE STEARCACIU GLYCERIN HYUROGENDIMETHICONE PHENOXYEIHANOLFRAGRANCE SUCA UIMETHYLSIIYLATE SOUIUMBENOAIE TOCOHHERYLACEIAIE UISUDIUMEDTA PUIASSUMSORBAIE CAFRYLYLGLYCUL POIYHYUROXYSTEARICACD SOSTEARICAQU ISOPROPYLMYRSIAIELEUIHIN ETHYLHEXIL PALMIIAIEPULYGLYCERYL3 PULYRICINOLEAIEQTIAS2UMONIA ACIDISSIMAEXIRACI,049 , VPIEXAUECENECUPULYMER ACHYLAIESUIMETHCONECOFULYMER BIOSACUIARUEGUMA RUSADAMURICABUU"
064,WATER PROOF,INGREDIENTS WAIER CYCLOPENTASILOXANEHOMOSALAIE SILICA ETHYLHEXYLSALCYLAIETIIAIIUM UIOXIDE(CIT89I) BUTYLENEGLYCCL LAURYLPEC 10 TRISTIRIMETHYLSILOXYISIYLETHIL UIMETHICUNE UIEIHYLAMINO HYUROKYBENZOYLHEKYLEENOATE GLYCERIN CI2-I5AIKYLBENIZOAIE AICUHULDENII HEUCHRYSUI ARENARIUMEXIRACT BISEIHYLHEXYLOXYPHENOL MEIHOXYPHENYLTRIZINEISCPROPYL PALMIIAIL UWMETHICUNEPEC IU UIMETHICONE MAGNESIUMSULFATE ALUIMINUMHYURUXIDE UIMETIIICONENINYLDIMEIHCONE CROSSPULYMER STEARICACU FRAERANEE TRIETIIOXYCAPRYIYLSIIANE PIIENOXYEIHANULUUAIERNUM 18 BENTONIIESIICAUIMETHYLSIYUIE SUUIUMUENZOAIE ACRIAIESIUIMETHCONECOPULIMER TOCOPHERIACETAIE DISUUIUMEUIA VPIIEMUECENECUPULYMERPSUIUM (UAIAVALENFEKTRACICINCHUNA SUCCIRUBIABARKEXIICTABRUNA UNALOULBENZLSALCILAIELIMUNENE GERANIULHEXYLCINNAMAL
065,M A D A G A S CA4 R C ENTEL L A,"INGREDIENTS Water(Aqua) Propanediol Glycerin Cyclohexasiloxane 1,2-Hexanediol, Niacinamide CaprylicICapric Triglyceride Panthenol Polyglycerin-3, Polyglyceryl-10 Stearate, Hydrogenated Poly (C6-14 Olefin) Hydrogenated Polydecene Coptis Japonica Root Extract Houttuynia Cordata Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Lavandula Angustifolia (Lavender) Flower Extract Centella Aslatica Leaf Extract Opuntia Ficus-Indica Stem Extract Gardenia Florida Fruit Extract Hibiscus Sabdariffa Flower Extract, Corallina Officinalis Extract, Sodium Hyaluronate, Dicaprylyl Carbonate C14-22 Alcohols Ammonium AcryloyldimethyltaurateNP Copolymer, Polymethylsilsesquioxane C12-20 Alkyl Glucoside, Butylene Glycol, AcrylatesC1o-30 Alkyl Acrylate Crosspolymer Ethylhexylglycerin Polyquaternium-51, Tromethamine Bera-Glucan Resveratrol, Hydrolyzed Hyaluronic Acid, Tocopherol Ceramide NP Phenoxyethanol"
066,SKIN10 0 4 B RIGHTENING CARE,"INGREDIENTS Centella Asiatica Extract(77%), Butylene Glycol Glycerin Niacinamide Tranexamic Acid 1,2-Hexane- diol Water, Betaine Madecassoside Hydrogenated Lecithin Xylitylglucoside Anhydroxylitol Xylitol Panthenol Zea Mays (Corn) Starch,Arginine Mannitol, 3-O-Ethyl Ascorbic Acid Microcrystalline Cellulose Lactobacillus Ferment Hydroxy ethylcellulose Pentylene Clycol, Clucose, Ethylhexylglycerin Acrylateslio-3oAlkylAcrylate Crosspolymer,XanthanCum"
067,M A D A G A S C A R C E NT E L L A,INGREDIENTS Centella Asiatica Extract(1oo%)
068,M A D A G A C A R C E NT E L L A,"INGREDIENTS AqualWater) Dibutyl Adipate Titanium Dioxi- de, Propanediol Caprylic Capric Triglyceride Centella Asiatica Extract 29,4ooppm) C12-15 Alkyl Benzoate Diethylamino Hy droxybenzoyl Hexyl Benzoate Ethylhexyl Triazone, Niacinami- de, Caprylyl Methicone Diethylhexyl Butamido Triazone, 1,2- Hexanediol Pentylene Clycol Corchorus Olitorius Leaf Extract, Hordeum Vvulgare Extract Nymphaea Alba Flower Extract, Sodium Hyaluronate Coco-CaprylatelCaprate Clycerin Poly- hydroxystearic Acid DimethiconelVVinyl Dimethicone Cross- polymer VPIEicosene Copolymer Dimethiconol Trisiloxane, Stearic Acid, Alumina Sodium Polyacryloyldimethyl Taurate, Polyacrylate Crosspolymer-6, Hydroxypropyl Methylcellulose Stearoxy Ether Dicaprylyl Carbonate Ethylhexylglycerin, Xan- than Cum Triethoxycaprylylsilane Adenosine Sodium Polya- crylate Madecassoside PVMIMA Copolymer, Polyether-1, T Butyl Alcohol, Tranexamic Acid Dipropylene Glycol Sodium Palmitoyl Proline Butylene Clycol, Iron Oxides CI 77492), Iron Oxides Cl 77491)"
069,CartalLyar,"INGREDIIENTS AOUA ISONONYL ISONONANOATE CAPRYLICI CAPRICTRIGLYCERIDE GLYCERIN ALOE BARBADENSIS LEAF EXTRACT PHENOXYETHANOL, CAPRYLYL GLYCOL, FRAGRANCE , POTASSIUM"
070,innscsl,"Ingredients Aqua, Lauric Acid, Myristic Acid, Stearic Acid, Saliclic Act Glycol COEAI PEGDS, BHT Disodium EDIA Glycerine, Propylene Potassium Hydroxide DMDM Hydantoin Fragrance Oil"
071,LAIKU,"INCREUIENTS WATERAQUA) PROPYLENE GLYCOL TITANIUM DIOXIDE ETHYLHEXYL PALMITATE, GLYC ERIN UIMETHICONE MINERAL OIL, ISOHEXADECANE ETHYLHEXYL METHOXYCINNAVATE CETYL PECIPPG 1U1 UIMETHICONE SORBITANSESQUIOLEATE C1215 ALKYL BENZOATE OCTOCRYLENE MAGNESIUMSU LFATE CYCLOPENIASILOXANE BUTYL METHOXYDIB ENZOYLMETHANE BENZOPHENONE 3 SILICA ALUM INA TRIETHOXYCAPRYLYLSILANE BHT MAGNESIUM STEARAIELMICA PEG 3U DIPOLYHYDROXYSTEARAIE SOUIUM HYALUROMATE MALTODEXTRIN CENTELLA ASIATICA LEAF EXTRACT NIACINAMIDE BUTYLENE GLYCOL, ORYZA SATIVA (RICE) LEESEXTRACT PRUN US LANNESIANA FLOWEREXTRACT ASCORBICACID CALENDULA OFFICINALIS FLOWER EXTRACI HYDR OXYACETOPHENONE, HYDROLYZED RICE PROTEIN PROPYLPARABEN METHYLPARABEN DIAZOLIDINYL UREA FRAGRANCE(PARFUM) IRONOXIDES(CI 77491)"
072,A n ua,"INGREDIENTS Houttuynia Cordata Extract (77%), Water Gluconolactone, Propanediol Trorethamine Butylene Glycol, 1,2-Hexanediol, Betaine, Ammonium Acryloyldimethyltauratevi Copolymer Ulmus Davidiana Root Extract, Pueraria Lobata Root Extract, Pinus Palustris Leaf Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Camellia Sinensis Leaf Extract, Coix Lacryma-Jobi Ma-yuen Seed Extract, Portulaca Oleracea Extract, Centella Asiatica Extract, Madecassoside, Asiatic Acid, Asiaticoside, Madecassic Acid, Sodium Phytate"
073,Artichoke Intensive Skin Barrier Ampoule,"After cleansing and toning, apply a moderate amount of ampoule onto the skin and gently pat in for better absorption Follow with moisturizer for a long-lasting effect"
074,A 4 2A5 SI SUNCP5AM,",থ থ (30%),C 0 Elo c ক 0 c 9 ,প 0 ,5 5 5 7 7 % 5, 4 ,49 9 4 0 0 0 , 7 থ থ 0 , 4 7 4 9 , , Elo sl o-e 0 , E ,1,2-খ c 9 ,থছ ২ 0 প সথ 0 0 -0 5 4 থ 44 0 0 , সথ 4 2 -15, 2- থ ই, 53 0 , 5 ,9 ই,স ,3ষ ই, 7- ই, সস্ - ,ই২ E 0- 0 ,4 -9 ) গ ণ 2 9 2 ,সঘ r 0 , ছ হ 0 ,7- 0 , ছ 2 9 ই, 3 4 থ E 0 0 ) 0 ,0 0 10-30g20 9 ম - ,প ছথ খ ,8 9 gE 0 u E E 9 0 য স 0 ,0"
075,MELOWI MAEturoto,FULLINGREDIENTSLIST WaterlAqualEau Butylene Glycol Peg-6 CaprylicICapric Glycerides Hexylene Glycol PegPpg-3540 Dimethyl Ether Actinidia Chinensis (Orange) Water Cocos Nucifera (Coconut) Water LeuconostocIRadish Root Ferment Filtrate Acrylates Copolymer Ethylhexylglycerin Potassium Hydroxide Trisodium EdtaPhenoxyethanol
076,F R O Z E N SLEEPING MASK,"INGREDIENTS AQUA PROPYLENE GLYCOL BUTYLENE GLYCOL CENTELLA ASIA TICA EXTRACT NIACINAMIDE SODIUM HYALURONATE, DIPOIASS IUM GLYCYRRHIZATE, ALOE BARBADENSIS LEAF EXTRACT ACRYL ATESC1O-30 ALKYL ACRYLATE CROSSPOLYMER XANTHAN GUM ALLANTOIN METHYLPARABEN DIAZOLIDINYL UREA TRIETHANO LAMINE DISODIUM EDIA"
077,HAILDAIAN,"INGREDIENTS POLYBUTENE PARAFFINUM LIQUIDUM PATMITAE MICROCEYSIALLINEWAL BIS DIGCYCERYLPOLYACYLADIPAIE 2, DIISOSTEARYEMALATE SIMMONDSIA CRINENSISTJOJOBA)SEED OIL , SYNTHETIC WAXETOCOPIERYL ACEIArE PHENOXYETHANOL MAY CONTAIN C 45410,C 15850"
078,SaS ACNE,"aouUs noU Talc Cycloponaasiloxang oane SilicacZing Qxide Capry Yaprylyl BlroButyaonesuycol aratnatoolaloucaviernilola Tea Treo)Leal 0 , Tocopiuryl Acutatu cucamigopgotap Io ohylamnenisSalicilis Acid, Contella Aslatlcu Extract Flower Extract , Ascorblc Acid Boeswax Bonzalkonlum Chloride Butyrospermum Paki Shea Butur) Camellla Slnensis Leal Extract Sarlowericarin aofus Vestcolosus Eudracnily Fucuis Vosiculosus Exract flccariid sornertzey Palmitoyl Tripeptide 5, Phonoxyelnanol, Zinc Sullate"
079,BIOAOUA,"8308730 30)6 2 ম8 PAPAYA PURIFYING MOISTURIZING CLEANSER ১৮ঢদঞ, % RIRE9E 0 ৮7০ 51ধ 9৮ BT LIILRE KEAA it EillP 188813 Ki B B TiREEL TIbE 91588 RA TBarHeIkm 0882E AEL 30 Uril AIEIB TRaKIEREL 29, 1749337414 য L 33. 1 801 DMDMZWbLE. 1 CHAENOMELESSINENSIS) HIZ II fgnhmi ) Plui DTA ধ9 (BBl 8 AzaBkx llatlu ১ 90 TRRESE IiAh Tgelple T 8zil LiEirBx fyirtfgl 9দক89 7 ঢ %, MREEil Nl EBICA006 7i1 M1, 14X7) 858 সরদযা SINENSIS) দ3 ৪৮৯ষ৮ (CIENOMELES IHEFIRRIL ECBEXIREI"
080,৫ 4 1 E L L A,"INGREDIENTS Centella Asiatica Extract 5o.47%), Aqua(Wa- ter) Butylene Clycol Propanediol 1,2-Hexanediol, Aloe Bar- badensis Leaf Extract, Clycereth-26, Hydroxyacetophenone, Glycerin Carbomer, Tromethamine Panthenol Ethylhexyl- glycerin, Disodium EDTA Dipotassium Glycyrrhizate,Am- monium Polyacryloyldimethyl Taurate Biosaccharide Gum- 1,HyaluronicAcid, Hydrolyzed HyaluronicAcid, Sodium Hya- luronate Hydroxyethylcellulose Chamomilla Recutita (Ma- tricarial Flower Extract, Mineral Salts Tripeptide-3, Acetyl AcetylOctapeptide-3 Copper Tripeptide-1 Palmitoyl Pentapeptide-4, Palmitoyl Tetrapeptide-7, Pal- mitoyl Tripeptide-1, Tripeptide-1, Tripeptide-2"
081,ANUA HEARTLEAF,"INGREDIENTS Houttuynia Cordata FlowerLeaf Stem Water (33.32%), Glycerin, Sodium Cocoyi Glycinate, Water, Sodium Lauroyl Glutamate, Disodium Cocoamphodiacetate, Coco-Glucoside, Decyl Glucoside Hectorite, Sodium Chloride, 1,2-He xanediol, Betaine Salicylate, Potassium Benz oate Houttuynia Cordata Powder(3oooppm) Polyquaternium-67, Acrylatesc1o-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Gard enia Florida Fruit Extract, Dextrin, Disodium EDTA, Eucalyptus Globulus Leaf Oil, Ethylhexyl glycerin, Sodium Acetate, Isopropyl Alcohol, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Pr imrose) Flower Extract, Pueraria Lobata Root Extract, Pentylene Glycol, Capryloyl Salicylic Acid, Tocopherol Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Hydrolyzed Sodium Hyaluron ate, Sodium Hyaluronate, Potassium Hyaluron ate, Hydroxypropyltrimonium Hyaluronate Sod ium Hyaluronate Crosspolymer Sodium Acetyl ated Hyaluronate Quercetin QUERCETINOLT"
082,Anua,"INGREDIENTS Ethylhexyl Stearate, Sorbeth-30 Tetraoleate, Cetyl Ethylh exanoate, CaprylicCapric Triglyceride, Triethylhexanoin, Rosmarinus Officinalis (Rosemary) Leaf Oil, Helianthus Annuus (Sunflower) Seed Oil, Houttuynia Cordata Extract (20,00Uppb), Isododecane, Water, Sorbitan Sesquioleate, Tocopherol"
083,ANUA HEARTLEAF PORE CONTROL CLEANSING OIL,"INGREDIENTS Ethylhexyl Palmitate, Sorbeth-30 Tetraoleate, Sorbitan Sesquioleate, Caprylic Capric Triglyceride, Butyl Avocadate, Fragrance, Helianthus Annuus (Sunflower) Seed Oil, Macadamia Ternifolia Seed Oil, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Caprylyl Glycol Ethylhexylglyc- erin, Curcuma Longa (Turmeric) Root Extract, Melia Azadirachta Flower Extract, Tocopherol, Melia Azadirachta Leaf Extract, Houttuynia Cordata Extract (1o,oo0ppb), Corallina Officinalis Extract, Melia Azadirachta Bark Extract, Moringa Oleifera Seed Oil, Ocimum Sanctum Leaf Extract"
084,MA DAGASCAR,"INGREUIENTS Houttuynia Cordata FlowerLeafStem Water(33%), Glycerin, So dium Cocoyl Glycinate, Water, Sodium Lauroyl Glutamate, Diso dium Cocoamphodiacetate) Coco-Glucoside, Decyl Glucoside, He ctorite, Sodium Chloride, 1,2-Hexanediol, Betaine Salicylate, Po tassium Benzoate, Houttuynia Cordata Powder(3 ooUppm) Poly quaternium-67, AcrylatesC10-30 Alkyi Acrylate Crosspolymer Butylene Glycol Gardenia Florida Fruit Extract, Dextrin, Disodium EDTA, Eucalyptus Globulus Leaf Oil, Ethylhexylglycerin, Sodium Acetate, Isopropyl Alcohol, Pinus Palustris Leaf Extract, Ulmus Da vidiana Root Extract Oenothera Biennis (Evening Primrose) Flo wer Extract Pueraria Lobata Root Extract, Pentylene Glycol, Ca pryloyl Salicylic Acid, Tocopherol Hydrolyzed Hyaluronic Acid, Hy aluronic Acid, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluro nate) Potassium Hyaluronate, Hydroxypropyltrimonium Hyaluron ate, Sodium Hyaluronate Crosspolymer Sodium Acetylated Hyal uronate) Quercetin(ippb) QUERCETINOLTM"
085,M A D A LG A C A R C E NT E L L A,"INGREDIENTS Centella Asiatica Extract(41%), Water Lauryl Hydroxysultaine, Clycerin, Di- sodium Cocoamphodiacetate, Potassium Cocoyl Clycinate Sodium Chloride, Potassium Cocoate Sodium Lauroyl clutamate Vitis Vinifera (Crape) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Carica Papaya (Papaya) Fruit Extract Prunus Mume Fruit Extract, Madecassoside 1,2-Hexanediol, Xylitylglu- coside, Anhydroxylitol Xylitol, Niacinamide Acrylates C1o-3O Alkyl Acrylate Crosspolymer, 3-O-Ethyl AscorbicAcid, Trehalose, Butylene Clycol Panthenol Agave Tequilana Leaf Ext- ract, Clucose Caprylic Capric Triglyceride, Hexylene Ciycol Pentylene Clycol, Citric Acid, Potassium Benzoate Ethylhexylglycerin, Di- sodium EDTA"
086,M A D A G A C A R C E NT E L L A,"INGREDIENTS Ethylhexyl Stearate Cetyl Ethylhexanoate, Sorbeth-30 Tetraoleate CaprylicICapric Triglyceride Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Centella Asiatica Extract(ooo ppm) Simmondsia Chinensis (Jojoba) Seed Oil, Olea Europaea (Olive) Fruit Oil, Helianthus Annuus (Sunflower) Seed Oil, Ethylhexylglycerin, Pelargonium Craveolens Flower Oil Rosa Damascena Flower Oil Limonene Linalool"
087,M A D A G A C A R C E NT E L L A,"INGREDIENTS Centella Asiatica Extract(33%), Sodium Cocoyl Isethionate Glycerin, Water, Sodium Methyl Cocoyl Taurate Coco-Betaine, Potassium Cocoyl Clycinate 1,2-Hexanediol, So- diumchloride Potassium Cocoate Potassium Benzoate, Polyquaternium-67, Citric Acid, De- xtrin, Sodium Bicarbonate Theobroma Cacao (Cocoa) Extract Disodium EDTA, Sodium Ace- tate Butylene Glycol, coptis chinensis Root Ex- tract, Sodium Hyaluronate, Eclipta Prostrata Ex tract, Coccinia Indica Fruit Extract"
088,Anua 10),"00 INGREDIENTY Water Glycerin Travexamic Acid, Butylene Glycol ISuccirlatride Hexarenic Arbutin Sodium Hyal Diethoxyethyl uronate) Coccinia Indica Fruit Extract EcliptaProst trachaacatarCia nieglfoiraSeud oiraolea Europaea rata Extract, (Olive) Fruit Oil Simmondsia Chinensis Jojoba) Seedoil Vitis Vini fera Grape) Seed Oil Theobrorna Cacao Cocoa) Extract Hydrolyz edHyaluronic Acid Chamaecyparis Obtusa Leaf Extract Prunus Persica Peach) Flower Extract Camellia Sinensis Seed Oil Yeast Ferment Extract Centella Asiatica Extract Artemisia PrincepsLeaf Extract Candida BombicolalGlucosel Metryl Rapeseedate Fer ment Hyaluronic Acid Pentylene Glycol Betaine Salicylate Su crose Palmitate, Hydrogenated Lecithin Gellan Gum Sodium Phytate, Cellulose CapryliclCapric Triglyceride Panthenol Cy anocobalamin Polyglutamic Acic 3-0-Ethyl Ascorbic Acid Ce rarnide NP Dextrin Asiaticoside Madecassic Acid Asiatic Acid Dimethylsilanol Hyaluronate Hydrolyzed Sodium Hyaluronate Potassiurn Hyaluronate Hydroxypropyltrimonium Hyaluronate Sodium Hyaluronate Crosspolymer Sodium Hyaluronate Dime thylsilanol Sodium Acetylated Hyaluronate Xanthan Gum"
089,AZELAICACID 10 HNALURON,"INGREUIENTS KR Water Azelaic Acid Propycne-lyd lsodiumHydroxide Dipropyl ene Glycol 1,2-Hexanediol Panthenol Hydroxyethylcellulose, Be taine Salicylate Glycerin BiosaccharideGum-1, Ethylhexylglycerin, Allantoin Dipotassium Glycymhizate Melia Azadirachta Leaf Extract Camellia Sinensis Leaf Water Sodium Hyaluronate Melia Azadira chta Flower Extract Niacinamide, Aloe Barbadensis Leaf Juice Be ta-Glucan, Centella Asiatica Extract Centella AsiaticaLeaf Extract Centella Asiatica Root Extract Madecassoside, Asiaticoside, Asia tc Acid Madecassic Acid Squalane Zinc PCA, Butylene Glycol Pentylene Glycol CaprylyllCapryl Glucoside HydrogenatedLecith in, CeramideNP"
090,M A A G A C A R C ENTEL L A,"49 7 4099 ৬৬ INGREDIENTS Centella Asiatica Extract Butylene Glycol, Glycerin, Niacinamide Tranexamic Acid,1 2-Hexanediol, Water, Betaine Madecassoside Hydrogenated Lecithin Xylitylglucoside Anhydroxylitol Xylitol, Panthenol Zea Mays (Corn) Starch, Arginine, Mannitol 3-O-Ethyl Ascorbic Acid, Microcrystalline Cellulose Lactobacillus Ferment, Hydroxyethylcellulose, Pentylene Glycol Glucose, Ethylhexylglycerin Acrylatesl C10-30 Alkyl Acrylate Crosspolymer Xanthan Gum"
